iter	Passed	Remaining
0	131	131466
1	132	66332
2	134	44546
3	135	33632
4	136	27240
5	138	22956
6	139	19855
7	141	17489
8	142	15663
9	143	14189
10	145	13062
11	146	12047
12	147	11192
13	148	10454
14	161	10606
15	162	9982
16	163	9433
17	164	8959
18	165	8540
19	167	8205
20	168	7858
21	169	7545
22	190	8091
23	192	7834
24	193	7561
25	195	7313
26	197	7123
27	207	7191
28	209	7018
29	212	6872
30	215	6727
31	216	6551
32	217	6378
33	218	6215
34	219	6059
35	221	5924
36	222	5789
37	223	5662
38	226	5580
39	231	5563
40	233	5466
41	235	5361
42	237	5284
43	238	5187
44	239	5091
45	263	5460
46	264	5363
47	265	5264
48	266	5179
49	269	5116
50	271	5057
51	274	4997
52	275	4922
53	276	4843
54	277	4768
55	279	4714
56	281	4658
57	283	4610
58	286	4571
59	289	4528
60	290	4467
61	291	4407
62	306	4558
63	307	4496
64	311	4487
65	313	4433
66	317	4415
67	318	4369
68	320	4321
69	321	4275
70	322	4224
71	325	4189
72	326	4139
73	326	4090
74	327	4044
75	328	3999
76	330	3963
77	332	3927
78	334	3894
79	335	3853
80	340	3859
81	343	3845
82	343	3800
83	345	3769
84	347	3742
85	349	3709
86	350	3674
87	351	3638
88	352	3603
89	353	3569
90	354	3540
91	356	3514
92	357	3483
93	358	3453
94	359	3425
95	361	3403
96	362	3378
97	364	3351
98	365	3326
99	366	3299
100	367	3272
101	368	3244
102	369	3218
103	370	3192
104	371	3164
105	372	3137
106	373	3120
107	375	3102
108	376	3079
109	378	3059
110	379	3040
111	380	3018
112	381	2998
113	383	2979
114	384	2957
115	385	2936
116	386	2916
117	388	2902
118	390	2887
119	391	2869
120	392	2850
121	393	2829
122	394	2810
123	394	2790
124	395	2770
125	396	2751
126	397	2731
127	398	2713
128	399	2694
129	399	2676
130	400	2658
131	401	2640
132	402	2623
133	403	2607
134	404	2593
135	405	2578
136	407	2569
137	409	2556
138	410	2544
139	411	2529
140	412	2514
141	413	2497
142	414	2484
143	415	2469
144	416	2455
145	417	2441
146	418	2430
147	420	2421
148	422	2411
149	424	2405
150	425	2392
151	426	2379
152	427	2366
153	428	2356
154	429	2343
155	430	2330
156	431	2317
157	432	2305
158	434	2299
159	435	2287
160	437	2277
161	438	2269
162	439	2257
163	441	2250
164	442	2241
165	444	2231
166	445	2224
167	446	2213
168	458	2256
169	460	2245
170	466	2261
171	467	2252
172	469	2244
173	484	2299
174	485	2290
175	491	2302
176	496	2306
177	497	2296
178	499	2290
179	500	2282
180	502	2272
181	503	2261
182	504	2250
183	506	2245
184	507	2235
185	516	2261
186	517	2251
187	534	2307
188	537	2306
189	538	2296
190	539	2287
191	542	2281
192	543	2273
193	544	2263
194	545	2253
195	549	2252
196	550	2244
197	551	2234
198	552	2224
199	558	2233
200	560	2227
201	561	2217
202	564	2217
203	565	2208
204	567	2201
205	569	2193
206	576	2207
207	577	2197
208	582	2202
209	582	2193
210	583	2183
211	586	2181
212	589	2176
213	590	2167
214	590	2157
215	591	2147
216	592	2138
217	593	2129
218	594	2120
219	595	2110
220	596	2101
221	597	2093
222	598	2084
223	598	2074
224	612	2108
225	613	2101
226	614	2092
227	615	2084
228	617	2079
229	618	2071
230	620	2064
231	621	2056
232	622	2047
233	622	2039
234	624	2031
235	625	2023
236	626	2015
237	628	2013
238	629	2005
239	631	1999
240	633	1993
241	634	1986
242	635	1979
243	636	1971
244	636	1962
245	637	1955
246	638	1947
247	639	1939
248	640	1932
249	641	1924
250	642	1917
251	643	1911
252	645	1904
253	646	1898
254	647	1892
255	648	1885
256	649	1878
257	650	1871
258	651	1863
259	652	1856
260	653	1849
261	654	1842
262	654	1835
263	655	1828
264	656	1820
265	657	1814
266	658	1808
267	660	1803
268	661	1796
269	662	1790
270	663	1784
271	664	1778
272	665	1772
273	666	1765
274	667	1759
275	667	1752
276	668	1745
277	669	1739
278	670	1733
279	671	1726
280	672	1720
281	673	1715
282	681	1727
283	683	1723
284	684	1717
285	685	1711
286	686	1704
287	687	1699
288	688	1695
289	690	1690
290	691	1685
291	692	1679
292	693	1673
293	694	1667
294	695	1661
295	696	1655
296	696	1649
297	697	1643
298	698	1637
299	699	1631
300	700	1627
301	701	1621
302	702	1615
303	704	1611
304	707	1611
305	708	1606
306	709	1600
307	710	1595
308	710	1589
309	711	1584
310	712	1578
311	713	1573
312	714	1567
313	715	1562
314	715	1556
315	716	1550
316	717	1546
317	719	1542
318	720	1538
319	722	1534
320	723	1529
321	724	1524
322	724	1519
323	725	1513
324	726	1508
325	727	1503
326	727	1498
327	729	1493
328	730	1489
329	731	1484
330	732	1479
331	732	1474
332	734	1470
333	735	1466
334	737	1463
335	738	1458
336	739	1453
337	739	1448
338	740	1443
339	741	1439
340	742	1434
341	742	1429
342	743	1424
343	744	1419
344	745	1414
345	745	1409
346	746	1404
347	747	1400
348	748	1396
349	750	1394
350	752	1390
351	753	1386
352	753	1381
353	754	1377
354	755	1372
355	756	1368
356	757	1363
357	758	1359
358	758	1355
359	759	1350
360	760	1346
361	761	1341
362	761	1336
363	763	1333
364	764	1330
365	766	1327
366	767	1323
367	768	1319
368	769	1315
369	769	1310
370	770	1306
371	771	1302
372	772	1298
373	772	1293
374	773	1289
375	774	1285
376	775	1281
377	776	1277
378	776	1272
379	778	1269
380	779	1266
381	780	1263
382	781	1259
383	782	1255
384	783	1251
385	783	1247
386	784	1242
387	785	1239
388	786	1235
389	787	1231
390	788	1228
391	789	1224
392	789	1220
393	790	1216
394	791	1212
395	792	1208
396	793	1205
397	795	1203
398	796	1200
399	797	1196
400	798	1193
401	799	1189
402	800	1185
403	801	1182
404	802	1179
405	803	1175
406	804	1171
407	804	1167
408	805	1164
409	806	1161
410	808	1158
411	809	1155
412	810	1152
413	812	1149
414	812	1145
415	813	1142
416	814	1138
417	815	1135
418	816	1132
419	817	1128
420	817	1124
421	818	1121
422	819	1117
423	820	1113
424	820	1110
425	821	1107
426	822	1104
427	824	1101
428	825	1099
429	826	1096
430	827	1092
431	828	1089
432	829	1086
433	830	1083
434	831	1080
435	832	1076
436	833	1073
437	833	1069
438	834	1066
439	835	1063
440	835	1059
441	836	1056
442	838	1053
443	839	1050
444	840	1048
445	842	1046
446	843	1042
447	843	1039
448	844	1036
449	845	1033
450	846	1030
451	847	1027
452	848	1024
453	849	1021
454	849	1017
455	850	1014
456	852	1012
457	853	1009
458	854	1007
459	856	1005
460	857	1002
461	858	999
462	859	996
463	860	993
464	860	990
465	861	987
466	862	984
467	863	981
468	864	978
469	865	975
470	866	972
471	866	969
472	870	969
473	872	967
474	873	965
475	874	963
476	875	960
477	876	957
478	877	954
479	878	952
480	879	948
481	880	946
482	880	942
483	881	940
484	882	937
485	884	935
486	886	933
487	887	931
488	888	928
489	889	925
490	890	923
491	891	920
492	892	917
493	893	914
494	893	911
495	894	909
496	895	906
497	896	903
498	896	900
499	898	898
500	899	896
501	901	894
502	902	891
503	903	889
504	904	886
505	905	883
506	906	881
507	907	878
508	908	875
509	908	873
510	909	870
511	911	868
512	912	865
513	913	863
514	914	861
515	915	858
516	917	856
517	918	854
518	918	851
519	919	848
520	920	846
521	921	843
522	922	841
523	923	838
524	924	836
525	925	833
526	925	831
527	926	828
528	927	825
529	930	824
530	931	822
531	932	820
532	933	817
533	934	815
534	934	812
535	935	810
536	936	807
537	937	805
538	938	802
539	939	800
540	940	797
541	941	795
542	941	792
543	942	790
544	944	788
545	946	786
546	947	784
547	948	782
548	949	779
549	950	777
550	950	774
551	951	772
552	952	770
553	953	767
554	954	765
555	956	763
556	956	761
557	958	759
558	959	757
559	961	755
560	962	752
561	963	750
562	963	748
563	964	745
564	965	743
565	966	741
566	967	738
567	968	736
568	969	734
569	970	732
570	971	729
571	971	727
572	975	726
573	976	724
574	977	722
575	978	720
576	979	718
577	980	716
578	981	713
579	982	711
580	983	709
581	984	707
582	985	705
583	986	702
584	988	701
585	990	699
586	991	697
587	992	695
588	993	693
589	994	690
590	995	688
591	996	686
592	997	684
593	998	682
594	998	679
595	999	677
596	1000	675
597	1001	673
598	1002	671
599	1004	669
600	1006	667
601	1007	666
602	1008	663
603	1009	661
604	1010	659
605	1011	657
606	1012	655
607	1012	652
608	1013	650
609	1014	648
610	1015	646
611	1016	644
612	1016	642
613	1018	639
614	1019	638
615	1020	636
616	1021	634
617	1022	632
618	1023	629
619	1024	627
620	1025	625
621	1025	623
622	1026	621
623	1027	619
624	1028	617
625	1029	615
626	1030	612
627	1031	610
628	1032	608
629	1032	606
630	1034	604
631	1036	603
632	1037	601
633	1038	599
634	1039	597
635	1040	595
636	1041	593
637	1042	591
638	1042	589
639	1043	587
640	1044	585
641	1045	583
642	1046	581
643	1047	578
644	1048	577
645	1049	575
646	1051	573
647	1052	571
648	1052	569
649	1053	567
650	1054	565
651	1055	563
652	1056	561
653	1057	559
654	1059	557
655	1060	556
656	1061	554
657	1062	552
658	1063	550
659	1065	548
660	1066	547
661	1067	545
662	1068	543
663	1070	541
664	1071	539
665	1072	537
666	1073	535
667	1074	533
668	1075	531
669	1075	529
670	1076	527
671	1077	526
672	1079	524
673	1080	522
674	1081	520
675	1082	518
676	1083	516
677	1084	515
678	1085	513
679	1086	511
680	1087	509
681	1087	507
682	1088	505
683	1089	503
684	1090	501
685	1091	499
686	1093	498
687	1094	496
688	1096	494
689	1097	492
690	1098	491
691	1099	489
692	1100	487
693	1101	485
694	1101	483
695	1102	481
696	1103	479
697	1104	477
698	1104	475
699	1106	474
700	1107	472
701	1109	470
702	1110	469
703	1111	467
704	1112	465
705	1113	463
706	1114	461
707	1115	459
708	1116	458
709	1116	456
710	1117	454
711	1118	452
712	1119	450
713	1119	448
714	1121	446
715	1122	445
716	1123	443
717	1125	441
718	1127	440
719	1127	438
720	1128	436
721	1129	434
722	1130	433
723	1131	431
724	1132	429
725	1133	427
726	1134	425
727	1134	424
728	1136	422
729	1137	420
730	1138	419
731	1139	417
732	1140	415
733	1141	413
734	1142	411
735	1143	410
736	1143	408
737	1144	406
738	1145	404
739	1146	402
740	1147	400
741	1147	399
742	1148	397
743	1149	395
744	1153	394
745	1155	393
746	1156	391
747	1157	389
748	1158	388
749	1159	386
750	1160	384
751	1161	383
752	1162	381
753	1163	379
754	1163	377
755	1164	375
756	1165	374
757	1167	372
758	1168	371
759	1169	369
760	1170	367
761	1171	365
762	1172	364
763	1173	362
764	1174	360
765	1175	358
766	1175	357
767	1176	355
768	1177	353
769	1178	351
770	1179	350
771	1180	348
772	1183	347
773	1185	346
774	1186	344
775	1186	342
776	1187	340
777	1188	339
778	1189	337
779	1190	335
780	1190	333
781	1191	332
782	1193	330
783	1193	328
784	1194	327
785	1196	325
786	1198	324
787	1199	322
788	1200	320
789	1200	319
790	1201	317
791	1202	315
792	1203	314
793	1204	312
794	1204	310
795	1205	308
796	1206	307
797	1207	305
798	1208	303
799	1209	302
800	1209	300
801	1211	299
802	1213	297
803	1214	295
804	1214	294
805	1215	292
806	1216	291
807	1217	289
808	1218	287
809	1219	286
810	1220	284
811	1221	282
812	1222	281
813	1223	279
814	1224	277
815	1226	276
816	1228	275
817	1229	273
818	1229	271
819	1230	270
820	1231	268
821	1232	266
822	1233	265
823	1234	263
824	1235	262
825	1236	260
826	1237	258
827	1237	257
828	1238	255
829	1241	254
830	1243	252
831	1244	251
832	1245	249
833	1245	247
834	1246	246
835	1247	244
836	1248	243
837	1248	241
838	1249	239
839	1250	238
840	1251	236
841	1251	234
842	1252	233
843	1253	231
844	1254	230
845	1256	228
846	1257	227
847	1258	225
848	1259	223
849	1260	222
850	1260	220
851	1261	219
852	1262	217
853	1263	216
854	1264	214
855	1265	212
856	1265	211
857	1266	209
858	1267	207
859	1267	206
860	1268	204
